syntitem,pointitem,offset
hsi_4_0717_211_001_main__ggpt__735,st1.20375_20767_1.12stretch,-0.2722
hsi_7_0719_222_002_main__ggpt__737,st1_mirrored.16796_17230_1.03stretch,-0.48829999999999996
hsi_5_0718_211_002_main__ggpt__739,st1_mirrored.38708_39256_0.89stretch,-0.7165000000000001
hsi_6_0718_211_001_main__ggpt__740,st1.45687_45953_0.86stretch,0.184
hsi_7_0719_210_002_main__ggpt__741,st1.20375_20767_1.11stretch,0.011400000000000077
hsi_7_0719_227_003_main__ggpt__747,st2.3083_3415_1.16stretch,-0.5454000000000001
hsi_6_0718_227_002_main__ggpt__753,st1_mirrored.26885_27456_0.83stretch,-0.9837000000000001
hsi_4_0717_211_003_main__ggpt__754,st1_mirrored.3015_3401_1.07stretch,-0.9847000000000001
hsi_5_0718_210_001_main__ggpt__757,st2.2316_2727,-0.804
hsi_6_0718_222_003_main__ggpt__760,st2.6146_6478_1.27stretch,0.02719999999999989
hsi_7_0719_210_003_main__ggpt__765,st1.23273_23656_0.91stretch,0.006900000000000017
hsi_4_0717_210_003_main__ggpt__776,st1_mirrored.8087_8452,0.018000000000000016
hsi_7_0719_222_004_main__ggpt__779,st2_mirrored.9428_9874,-0.492
hsi_5_0718_210_002_main__ggpt__789,st1.33801_34062_0.9stretch,-0.6539999999999999
hsi_7_0719_222_002_main__ggpt__790,st1_mirrored.7758_8082,0.009000000000000008
hsi_5_0718_211_002_main__ggpt__792,st1_mirrored.17594_17971_1.28stretch,-0.5716000000000001
hsi_6_0718_210_001_main__ggpt_2__3,st1.25173_25609,-0.998
hsi_7_0719_209_003_main__ggpt_2__8,st1_mirrored.7376_7753,-1.335
hsi_4_0717_211_003_main__ggpt_2__12,st2.7431_7795_1.09stretch,0.0005999999999999339
hsi_4_0717_227_003_main__ggpt_2__22,st1.22118_22432_0.82stretch,0.46919999999999995
hsi_4_0717_210_001_main__ggpt_2__25,st2_mirrored.7035_7426_1.09stretch,-1.7964000000000002
hsi_5_0718_209_003_main__ggpt_2__27,st1.35000_35472_1.04stretch,-0.8728
hsi_3_0715_227_002_main__ggpt_2__30,st1_mirrored.34421_34995_0.86stretch,-0.9816000000000001
hsi_5_0718_227_002_main__ggpt_2__32,st1.16796_17230_0.94stretch,-0.6358
hsi_4_0717_210_003_main__ggpt_2__34,st2.2316_2727_1.11stretch,-1.0375
hsi_4_0717_222_003_main__ggpt_2__36,st2.11449_11971_0.9stretch,-0.654
hsi_4_0717_211_001_main__ggpt_2__46,st2.1815_2311_0.99stretch,-0.9378
hsi_5_0718_210_002_main__ggpt_2__47,st1.25173_25609_0.83stretch,0.0007000000000000339
hsi_4_0717_209_003_main__ggpt_2__49,st2_mirrored.6483_7030_0.86stretch,-0.8523999999999999
hsi_7_0719_210_002_main__ggpt_2__52,st1_mirrored.7376_7753_1.26stretch,-0.581
hsi_7_0719_211_002_main__ggpt_2__54,st1.22983_23268_0.95stretch,-0.3405
hsi_6_0718_211_002_main__ggpt_2__57,st1_mirrored.19997_20370_1.01stretch,-1.1089
hsi_7_0719_227_003_main__ggpt_2__58,st2.6146_6478_0.9stretch,-0.33699999999999997
hsi_5_0718_227_001_main__ggpt_2__62,st1_mirrored.33801_34062_1.33stretch,0.000200000000000089
hsi_5_0718_210_001_main__ggpt_2__68,st1.11922_12193_0.86stretch,-0.6447999999999999
hsi_4_0717_209_001_main__ggpt_2__69,st1_mirrored.17976_18360_0.86stretch,-0.20399999999999996
hsi_6_0718_210_002_main__ggpt_2__73,st2.3083_3415_1.19stretch,-0.7615999999999999
hsi_5_0718_222_003_main__ggpt_2__81,st1.9453_9745,-1.432
hsi_3_0715_227_002_main__ggpt_2__83,st1.28025_28393_1.31stretch,-1.6088999999999998
hsi_5_0718_209_001_main__ggpt_2__84,st1.16330_16795_0.92stretch,0.02180000000000004
hsi_4_0717_210_003_main__ggpt_2__87,st1_mirrored.15138_15625,-2.3409999999999997
hsi_7_0719_211_004_main__ggpt_2__88,st1.16796_17230_0.92stretch,-0.5174
hsi_4_0717_222_003_main__ggpt_2__89,st2_mirrored.6146_6478,0.0029999999999998916
hsi_7_0719_222_004_main__ggpt_2__90,st1.12960_13246,0.010000000000000009
hsi_3_0715_227_001_main__ggpt_2__93,st2.5628_6141_0.91stretch,0.029900000000000038
hsi_4_0717_227_002_main__ggpt_2__96,st1_mirrored.17594_17971_1.23stretch,-0.4696
hsi_4_0717_211_001_main__ggpt_2__99,st1_mirrored.19997_20370_1.14stretch,-0.6346
hsi_5_0718_210_002_main__ggpt_2__100,st1.25614_26056_1.1stretch,-1.2089999999999999
hsi_5_0718_211_002_main__ggpt_2__103,st2_mirrored.3083_3415_1.38stretch,-0.46419999999999995
hsi_7_0719_209_001_main__ggpt_2__108,st1_mirrored.7758_8082_1.07stretch,0.005900000000000016
hsi_7_0719_227_003_main__ggpt_2__111,st1_mirrored.22437_22978_0.86stretch,-1.4549999999999998
hsi_6_0718_227_002_main__ggpt_2__117,st1_mirrored.26061_26416_1.18stretch,-1.1884000000000001
hsi_5_0718_210_001_main__ggpt_2__121,st1.35477_35907_0.97stretch,-0.4358000000000001
hsi_5_0718_211_003_main__ggpt_2__123,st1.20375_20767_1.04stretch,0.018600000000000172
hsi_6_0718_222_003_main__ggpt_2__124,st1_mirrored.23273_23656_0.91stretch,1.1102230246251565e-16
hsi_6_0718_210_002_main__ggpt_2__126,st1.14865_15137_1.12stretch,0.013399999999999967
hsi_7_0719_210_003_main__ggpt_2__129,st2_mirrored.11976_12272,0.039000000000000035
hsi_5_0718_222_003_main__ggpt_2__134,st1_mirrored.11922_12193,-1.4100000000000001
hsi_3_0715_209_006_main__ggpt_2__135,st1.9745_10055_1.37stretch,-0.6724
hsi_5_0718_209_001_main__ggpt_2__137,st1.13251_13486,-1.7249999999999999
hsi_5_0718_227_002_main__ggpt_2__138,st2_mirrored.1815_2311_0.99stretch,-0.6997999999999998
hsi_7_0719_211_004_main__ggpt_2__141,st2_mirrored.11976_12272_1.33stretch,0.021200000000000108
hsi_6_0718_222_001_main__ggpt_2__144,st2.11976_12272,0.0020000000000000018
hsi_4_0717_227_002_main__ggpt_2__149,st1_mirrored.23273_23656_0.99stretch,-0.681
hsi_6_0718_211_001_main__ggpt_2__157,st2_mirrored.4179_4492_0.83stretch,0.1267
hsi_7_0719_209_001_main__ggpt_2__161,st1_mirrored.26421_26880_0.87stretch,0.03629999999999989
hsi_6_0718_210_001_main__ggpt_2__162,st1.22118_22432_1.31stretch,-1.3489
